Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
776,0.633,public,droppings,2,521731.2899103406,8592073.663461754,"c(521731.289910341, 8592073.66346175)",KOUNGOU
777,23.45,public,vehicle scrap,1,517811.48172584124,8592327.896058366,"c(517811.481725841, 8592327.89605837)",KOUNGOU
778,25.4,public,solid waste,3,517775.7428307408,8592358.95411843,"c(517775.742830741, 8592358.95411843)",KOUNGOU
779,27.94,public,droppings,1,517722.48993914947,8592434.182818979,"c(517722.48993915, 8592434.18281898)",KOUNGOU
780,28.667,public,solid waste,1,517838.28044617793,8592314.950702291,"c(517838.280446178, 8592314.95070229)",KOUNGOU
781,45.467,public,droppings,1,517941.57773475884,8592295.316187682,"c(517941.577734759, 8592295.31618768)",KOUNGOU
782,61.25,public,vehicle scrap,1,518027.26710533525,8592280.824772403,"c(518027.267105335, 8592280.8247724)",KOUNGOU
783,45.483,public,vehicle scrap,1,517972.37934502476,8592221.819847442,"c(517972.379345025, 8592221.81984744)",KOUNGOU
784,75.6,public,vehicle scrap,2,518161.92528435716,8592076.24781983,"c(518161.925284357, 8592076.24781983)",KOUNGOU
785,90.2,public,tire waste,60,518350.6162292036,8591865.894630099,"c(518350.616229204, 8591865.8946301)",KOUNGOU
786,55.683,public,vehicle scrap,1,517879.58759774663,8592401.240144499,"c(517879.587597747, 8592401.2401445)",KOUNGOU
787,-11.36,public,solid waste,3,517504.56100390584,8592227.379979435,"c(517504.561003906, 8592227.37997944)",KOUNGOU
788,-4.383,public,vehicle scrap,2,517485.91913480114,8592208.825516772,"c(517485.919134801, 8592208.82551677)",KOUNGOU
789,-14.75,public,vehicle scrap,8,517426.6408757275,8592118.796693457,"c(517426.640875728, 8592118.79669346)",KOUNGOU
790,-17.733,public,vehicle scrap,1,517551.06593127846,8592230.165464755,"c(517551.065931278, 8592230.16546476)",KOUNGOU
791,-20.029,public,vehicle scrap,2,517584.9880758407,8592199.742468808,"c(517584.988075841, 8592199.74246881)",KOUNGOU
792,1.3,public,vehicle scrap,1,517531.97765598795,8592083.743620396,"c(517531.977655988, 8592083.7436204)",KOUNGOU
793,10.6,public,droppings,1,517551.40681797767,8592048.712761369,"c(517551.406817978, 8592048.71276137)",KOUNGOU
794,13.767,public,droppings,1,517542.5800747392,8592015.357132677,"c(517542.580074739, 8592015.35713268)",KOUNGOU
795,-1.467,public,solid waste,1,517555.64194533334,8592119.117035411,"c(517555.641945333, 8592119.11703541)",KOUNGOU
796,-6.75,public,vehicle scrap,5,517607.2354172486,8592119.574774232,"c(517607.235417249, 8592119.57477423)",KOUNGOU
797,-10.267,public,vehicle scrap,1,517647.0918717843,8592106.154778225,"c(517647.091871784, 8592106.15477823)",KOUNGOU
798,14.85,public,droppings,1,517679.4052645059,8591942.81346071,"c(517679.405264506, 8591942.81346071)",KOUNGOU
799,-5.283,public,vehicle scrap,2,517668.28807278466,8592055.337906508,"c(517668.288072785, 8592055.33790651)",KOUNGOU
800,-2.6,public,solid waste,2,517753.78221880615,8592017.929909153,"c(517753.782218806, 8592017.92990915)",KOUNGOU
801,13.733,public,solid waste,1,517863.67249923886,8591841.20183477,"c(517863.672499239, 8591841.20183477)",KOUNGOU
802,11.433,public,vehicle scrap,5,517927.30662876787,8591807.955153927,"c(517927.306628768, 8591807.95515393)",KOUNGOU
803,9.833,public,solid waste,4,517941.3687935888,8591777.288873948,"c(517941.368793589, 8591777.28887395)",KOUNGOU
804,90.443,public,vehicle scrap,1,517960.4169591428,8592493.764585223,"c(517960.416959143, 8592493.76458522)",KOUNGOU
805,65.117,public,vehicle scrap,3,517978.3796172737,8592459.264071519,"c(517978.379617274, 8592459.26407152)",KOUNGOU
806,78.12,public,solid waste,3,517981.45690547954,8592356.57449688,"c(517981.45690548, 8592356.57449688)",KOUNGOU
807,84.88,public,solid waste,2,517967.1375027459,8592372.359595709,"c(517967.137502746, 8592372.35959571)",KOUNGOU
